Time [s];Cell_1 Volatge [V];Cell_2 Volatge [V];Cell_3 Volatge [V];Cell_4 Volatge [V]
0;3.54;3.525;3.501;3.53
0.4;3.54;3.53;3.506;3.53
0.9;3.54;3.525;3.506;3.53
1.3;3.535;3.521;3.501;3.53
1.7;3.54;3.525;3.506;3.53
2.1;3.545;3.521;3.506;3.53
2.5;3.535;3.525;3.506;3.53
2.9;3.535;3.525;3.506;3.53
3.3;3.54;3.525;3.506;3.53
3.8;3.53;3.525;3.501;3.53
4.2;3.54;3.53;3.501;3.53
4.6;3.55;3.525;3.506;3.53
5;3.54;3.525;3.506;3.53
5.4;3.53;3.525;3.501;3.53
5.8;3.54;3.525;3.506;3.53
6.3;3.53;3.525;3.506;3.53
6.7;3.54;3.525;3.506;3.53
7.1;3.54;3.525;3.501;3.53
7.5;3.535;3.525;3.501;3.53
8;3.54;3.525;3.506;3.53
8.4;3.545;3.525;3.506;3.53
8.8;3.54;3.525;3.501;3.53
9.2;3.54;3.525;3.506;3.53
9.6;3.54;3.521;3.506;3.53
10;3.54;3.525;3.501;3.53
10.4;3.535;3.525;3.501;3.53
10.8;3.535;3.53;3.506;3.53
11.3;3.55;3.53;3.506;3.53
11.7;3.55;3.525;3.506;3.53
12.1;3.535;3.525;3.501;3.53
12.5;3.54;3.525;3.506;3.53
12.9;3.54;3.53;3.501;3.53
13.4;3.535;3.525;3.501;3.53
13.8;3.535;3.521;3.506;3.53
14.2;3.545;3.525;3.501;3.53
14.6;3.54;3.525;3.506;3.53
15;3.545;3.525;3.506;3.53
15.5;3.54;3.525;3.506;3.53
15.9;3.535;3.525;3.506;3.53
16.3;3.55;3.525;3.506;3.53
16.7;3.54;3.53;3.506;3.53
17.1;3.54;3.525;3.506;3.53
17.5;3.54;3.525;3.501;3.53
18;3.54;3.521;3.501;3.53
18.4;3.54;3.525;3.506;3.53
18.8;3.54;3.525;3.506;3.53
19.2;3.535;3.525;3.501;3.53
19.6;3.54;3.525;3.501;3.53
20;3.535;3.525;3.501;3.53
20.5;3.535;3.525;3.501;3.53
20.9;3.54;3.525;3.506;3.53
21.3;3.54;3.525;3.501;3.53
21.7;3.535;3.525;3.501;3.53
22.1;3.54;3.53;3.506;3.53
22.5;3.54;3.525;3.506;3.53
23;3.535;3.525;3.506;3.53
23.4;3.54;3.521;3.506;3.53
23.8;3.535;3.525;3.501;3.53
24.2;3.535;3.525;3.506;3.53
24.6;3.54;3.525;3.506;3.53
25;3.535;3.525;3.501;3.53
25.5;3.54;3.525;3.506;3.53
25.9;3.54;3.525;3.506;3.53
26.3;3.54;3.525;3.506;3.53
26.7;3.545;3.521;3.501;3.53
27.1;3.54;3.525;3.501;3.53
27.5;3.54;3.525;3.501;3.53
28;3.54;3.525;3.501;3.53
28.4;3.54;3.525;3.501;3.53
28.8;3.535;3.525;3.501;3.53
29.2;3.54;3.521;3.501;3.53
29.6;3.54;3.53;3.506;3.53
30.1;3.54;3.525;3.501;3.53
30.5;3.54;3.525;3.506;3.53
30.9;3.54;3.525;3.501;3.53
31.3;3.54;3.525;3.501;3.53
31.7;3.54;3.525;3.506;3.53
32.1;3.54;3.525;3.501;3.53
32.5;3.535;3.525;3.506;3.53
33;3.54;3.525;3.506;3.53
33.4;3.54;3.53;3.501;3.53
33.8;3.54;3.525;3.501;3.53
34.2;3.535;3.521;3.506;3.53
34.6;3.535;3.525;3.506;3.53
35.1;3.545;3.525;3.501;3.53
35.5;3.545;3.525;3.501;3.53
35.9;3.54;3.525;3.506;3.53
36.3;3.54;3.525;3.506;3.53
36.7;3.54;3.525;3.506;3.53
37.1;3.54;3.525;3.501;3.53
37.6;3.535;3.521;3.496;3.53
38;3.54;3.525;3.501;3.53
38.4;3.535;3.525;3.501;3.53
38.8;3.54;3.525;3.506;3.53
39.2;3.535;3.525;3.506;3.53
39.6;3.535;3.525;3.501;3.53
40.1;3.54;3.525;3.506;3.53
40.5;3.545;3.525;3.506;3.53
40.9;3.54;3.525;3.506;3.53
41.3;3.54;3.525;3.506;3.53
41.7;3.545;3.521;3.501;3.53
42.1;3.54;3.525;3.501;3.53
42.6;3.54;3.525;3.506;3.53
43;3.535;3.525;3.501;3.53
43.4;3.54;3.521;3.506;3.53
43.8;3.54;3.525;3.506;3.53
44.2;3.54;3.53;3.501;3.53
44.6;3.54;3.525;3.506;3.53
45.1;3.535;3.525;3.501;3.53
45.5;3.545;3.53;3.501;3.53
45.9;3.54;3.525;3.501;3.53
46.3;3.54;3.53;3.501;3.53
46.7;3.535;3.525;3.506;3.53
47.1;3.535;3.525;3.506;3.53
47.6;3.545;3.525;3.501;3.53
48;3.54;3.525;3.501;3.53
48.4;3.54;3.525;3.506;3.53
48.8;3.54;3.525;3.501;3.53
49.2;3.535;3.525;3.506;3.53
49.6;3.54;3.525;3.506;3.53
50.1;3.53;3.521;3.501;3.53
50.5;3.535;3.525;3.506;3.53
50.9;3.54;3.525;3.506;3.53
51.3;3.54;3.525;3.501;3.53
51.7;3.535;3.53;3.506;3.53
52.2;3.535;3.521;3.501;3.53
52.6;3.54;3.525;3.501;3.53
53;3.54;3.521;3.501;3.53
53.4;3.535;3.521;3.501;3.53
53.8;3.54;3.525;3.501;3.53
54.2;3.54;3.521;3.501;3.53
54.7;3.54;3.525;3.506;3.53
55.1;3.54;3.525;3.506;3.53
55.5;3.545;3.525;3.506;3.53
55.9;3.535;3.525;3.501;3.53
56.3;3.54;3.525;3.506;3.53
56.7;3.54;3.53;3.501;3.53
57.2;3.54;3.525;3.506;3.53
57.6;3.54;3.521;3.506;3.53
58;3.54;3.525;3.506;3.53
58.4;3.54;3.521;3.501;3.53
58.8;3.535;3.525;3.501;3.53
59.2;3.54;3.525;3.506;3.53
59.7;3.54;3.525;3.501;3.53
60.1;3.54;3.525;3.501;3.53
60.5;3.53;3.521;3.501;3.53
60.9;3.54;3.525;3.501;3.53
61.3;3.54;3.525;3.501;3.53
61.8;3.54;3.525;3.501;3.53
62.2;3.54;3.53;3.506;3.53
62.6;3.54;3.525;3.506;3.53
63;3.535;3.525;3.501;3.53
63.4;3.54;3.525;3.501;3.53
63.8;3.54;3.521;3.506;3.53
64.2;3.54;3.525;3.501;3.53
64.7;3.54;3.525;3.506;3.53
65.1;3.535;3.525;3.501;3.53
65.5;3.535;3.521;3.501;3.53
65.9;3.54;3.53;3.506;3.53
66.3;3.54;3.521;3.506;3.53
66.8;3.535;3.525;3.506;3.53
67.2;3.545;3.525;3.506;3.53
67.6;3.54;3.525;3.501;3.53
68;3.54;3.53;3.501;3.53
68.4;3.54;3.525;3.501;3.53
68.9;3.545;3.521;3.501;3.53
69.3;3.545;3.525;3.501;3.53
69.7;3.54;3.525;3.506;3.53
70.1;3.535;3.521;3.501;3.53
70.5;3.54;3.521;3.501;3.53
70.9;3.54;3.525;3.501;3.53
71.3;3.535;3.525;3.506;3.53
71.8;3.54;3.516;3.496;3.53
72.2;3.545;3.521;3.506;3.53
72.6;3.535;3.525;3.506;3.53
73;3.54;3.521;3.501;3.53
73.4;3.54;3.525;3.501;3.53
73.8;3.54;3.521;3.506;3.53
74.3;3.545;3.525;3.506;3.53
74.7;3.545;3.521;3.501;3.53
75.1;3.54;3.525;3.501;3.53
75.5;3.54;3.525;3.506;3.53
75.9;3.54;3.521;3.506;3.53
76.3;3.535;3.521;3.501;3.53
76.8;3.54;3.525;3.506;3.53
77.2;3.54;3.525;3.506;3.53
77.6;3.545;3.521;3.501;3.53
78;3.535;3.521;3.501;3.53
78.4;3.535;3.525;3.501;3.53
78.8;3.54;3.525;3.506;3.53
79.3;3.54;3.525;3.506;3.53
79.7;3.535;3.53;3.501;3.53
80.1;3.535;3.53;3.506;3.53
80.5;3.516;3.506;3.477;3.53
80.9;3.506;3.496;3.477;3.53
81.4;3.501;3.491;3.472;3.53
81.8;3.501;3.486;3.467;3.53
82.2;3.496;3.481;3.462;3.53
82.6;3.491;3.481;3.462;3.53
83;3.491;3.477;3.462;3.53
83.4;3.481;3.477;3.457;3.53
83.9;3.477;3.472;3.457;3.53
84.3;3.477;3.467;3.452;3.53
84.7;3.472;3.467;3.452;3.53
85.1;3.472;3.462;3.447;3.53
85.5;3.472;3.462;3.447;3.53
85.9;3.462;3.462;3.447;3.53
86.4;3.462;3.462;3.447;3.53
86.8;3.462;3.452;3.442;3.53
87.2;3.457;3.452;3.442;3.53
87.6;3.457;3.457;3.437;3.521
88;3.457;3.452;3.442;3.525
88.4;3.452;3.447;3.433;3.521
88.9;3.447;3.442;3.433;3.516
89.3;3.452;3.442;3.433;3.511
89.7;3.447;3.442;3.433;3.511
90.1;3.442;3.442;3.433;3.516
90.5;3.442;3.442;3.433;3.506
91;3.433;3.437;3.433;3.506
91.4;3.437;3.437;3.428;3.501
91.8;3.437;3.437;3.423;3.501
92.2;3.437;3.437;3.423;3.501
92.6;3.428;3.428;3.423;3.496
93;3.437;3.428;3.418;3.491
93.4;3.433;3.428;3.423;3.491
93.9;3.428;3.433;3.423;3.491
94.3;3.428;3.423;3.423;3.486
94.7;3.428;3.423;3.418;3.481
95.1;3.423;3.423;3.418;3.486
