Time [s];Cella hõmérséklete [°C];Szoba hõmérséklete [°C]
0.4;23.7;24.39
0.8;23.79;24.39
1.2;23.79;24.39
1.6;23.7;24.39
2;23.7;24.39
2.5;23.79;24.39
2.9;23.79;24.39
3.3;23.7;24.39
3.7;23.79;24.39
4.1;23.7;24.39
4.5;23.7;24.39
4.9;23.7;24.39
5.3;23.7;24.39
5.7;23.7;24.31
6.1;23.7;24.39
6.5;23.7;24.39
6.9;23.7;24.31
7.3;23.7;24.31
7.7;23.7;24.31
8.2;23.7;24.31
8.6;23.7;24.31
9;23.7;24.31
9.4;23.7;24.31
9.8;23.79;24.31
10.2;23.7;24.31
10.6;23.7;24.31
11;23.7;24.31
11.4;23.7;24.31
11.8;23.7;24.31
12.2;23.7;24.31
12.6;23.7;24.22
13;23.7;24.22
13.4;23.7;24.22
13.9;23.7;24.22
14.3;23.7;24.22
14.7;23.7;24.22
15.1;23.7;24.22
15.5;23.7;24.22
15.9;23.7;24.22
16.3;23.7;24.22
16.7;23.7;24.22
17.1;23.7;24.22
17.5;23.7;24.22
17.9;23.7;24.22
18.3;23.7;24.22
18.7;23.7;24.22
19.1;23.7;24.22
19.6;23.7;24.22
20;23.7;24.13
20.4;23.7;24.22
20.8;23.7;24.13
21.2;23.7;24.22
21.6;23.7;24.13
22;23.7;24.13
22.4;23.7;24.13
22.8;23.7;24.13
23.2;23.7;24.13
23.6;23.7;24.13
24;23.7;24.13
24.4;23.7;24.13
24.8;23.7;24.13
25.3;23.7;24.13
25.7;23.7;24.13
26.1;23.7;24.13
26.5;23.7;24.13
26.9;23.7;24.13
27.3;23.7;24.13
27.7;23.7;24.13
28.1;23.7;24.13
28.5;23.7;24.13
28.9;23.7;24.13
29.3;23.7;24.13
29.7;23.7;24.13
30.2;23.7;24.13
30.6;23.7;24.13
31;23.7;24.13
31.4;23.7;24.13
31.8;23.7;24.05
32.2;23.7;24.05
32.6;23.7;24.05
33;23.7;24.05
33.4;23.7;24.05
33.8;23.7;24.05
34.2;23.7;24.05
34.6;23.7;24.05
35;23.7;24.05
35.4;23.7;24.05
35.9;23.7;24.05
36.3;23.7;24.05
36.7;23.7;24.05
37.1;23.7;24.05
37.5;23.7;24.05
37.9;23.7;24.05
38.3;23.7;24.05
38.7;23.7;24.05
39.1;23.7;24.05
39.5;23.7;24.05
39.9;23.7;24.05
40.3;23.7;24.05
40.7;23.7;24.05
41.1;23.7;23.96
41.5;23.7;23.96
42;23.7;23.96
42.4;23.7;24.05
42.8;23.7;23.96
43.2;23.7;24.05
43.6;23.7;23.96
44;23.7;23.96
44.4;23.7;23.96
44.8;23.7;23.96
45.2;23.7;23.96
45.6;23.7;23.96
46;23.7;23.96
46.4;23.7;23.96
46.8;23.7;23.96
47.3;23.7;23.96
47.7;23.7;23.96
48.1;23.7;23.96
48.5;23.7;23.96
48.9;23.7;23.96
49.3;23.7;23.96
49.7;23.7;23.96
50.1;23.7;23.96
50.5;23.7;23.96
50.9;23.7;23.96
51.3;23.7;23.96
51.7;23.7;23.96
52.1;23.7;23.96
52.6;23.7;23.96
53;23.7;23.96
53.4;23.7;23.96
53.8;23.7;23.88
54.2;23.7;23.96
54.6;23.7;23.96
55;23.7;23.96
55.4;23.7;23.96
55.8;23.7;23.96
56.2;23.7;23.88
56.6;23.7;23.96
57;23.7;23.96
57.4;23.7;23.96
57.8;23.7;23.96
58.3;23.7;23.96
58.7;23.7;23.96
59.1;23.7;23.96
59.5;23.7;23.96
59.9;23.7;23.96
60.3;23.7;23.96
60.7;23.7;23.88
61.1;23.7;23.96
61.5;23.7;23.88
61.9;23.7;23.88
62.3;23.7;23.96
62.7;23.7;23.88
63.1;23.7;23.88
63.5;23.7;23.88
64;23.7;23.88
64.4;23.7;23.88
64.8;23.7;23.88
65.2;23.7;23.88
65.6;23.7;23.88
66;23.7;23.88
66.4;23.7;23.88
66.8;23.7;23.88
67.2;23.7;23.88
67.6;23.7;23.88
68;23.7;23.88
68.4;23.7;23.88
68.8;23.7;23.88
69.3;23.7;23.88
69.7;23.7;23.88
70.1;23.7;23.88
70.5;23.7;23.88
70.9;23.7;23.88
71.3;23.7;23.88
71.7;23.7;23.88
72.1;23.7;23.88
72.5;23.7;23.88
72.9;23.7;23.88
73.3;23.7;23.88
73.7;23.7;23.88
74.1;23.7;23.88
74.5;23.7;23.88
75;23.7;23.88
75.4;23.7;23.79
75.8;23.7;23.88
76.2;23.7;23.88
76.6;23.7;23.88
77;23.7;23.79
77.4;23.7;23.88
77.8;23.7;23.88
78.2;23.7;23.88
78.6;23.7;23.88
79;23.7;23.88
79.4;23.7;23.79
79.9;23.7;23.79
80.2;23.7;23.88
80.7;23.7;23.79
81.1;23.7;23.79
81.5;23.7;23.79
81.9;23.7;23.79
82.3;23.7;23.79
82.7;23.7;23.79
83.1;23.7;23.79
83.5;23.7;23.79
83.9;23.7;23.79
84.3;23.7;23.79
84.7;23.7;23.79
85.1;23.7;23.79
85.5;23.7;23.79
86;23.7;23.79
86.4;23.7;23.79
86.8;23.7;23.79
87.2;23.7;23.79
87.6;23.7;23.79
88;23.7;23.79
88.4;23.7;23.79
88.8;23.7;23.79
89.2;23.7;23.79
89.6;23.7;23.79
90;23.7;23.79
90.4;23.7;23.79
90.9;23.7;23.79
91.2;23.7;23.79
91.7;23.7;23.79
92.1;23.7;23.79
92.5;23.7;23.79
92.9;23.7;23.79
93.3;23.7;23.79
93.7;23.7;23.79
94.1;23.7;23.79
94.5;23.7;23.79
94.9;23.7;23.79
95.3;23.7;23.79
95.7;23.7;23.79
96.1;23.7;23.7
96.5;23.7;23.7
97;23.7;23.7
97.4;23.7;23.7
97.8;23.7;23.7
98.2;23.7;23.7
98.6;23.7;23.7
99;23.7;23.7
99.4;23.7;23.7
99.8;23.7;23.7
100.2;23.7;23.7
100.6;23.7;23.7
101;23.7;23.7
101.4;23.7;23.7
101.8;23.7;23.7
102.3;23.7;23.7
102.7;23.7;23.7
103.1;23.7;23.7
103.5;23.7;23.7
103.9;23.7;23.7
104.3;23.7;23.7
104.7;23.7;23.7
105.1;23.7;23.7
105.5;23.7;23.7
105.9;23.7;23.7
106.3;23.7;23.7
106.7;23.7;23.7
107.1;23.7;23.7
107.6;23.7;23.7
108;23.7;23.7
108.4;23.7;23.7
108.8;23.7;23.7
109.2;23.7;23.7
109.6;23.7;23.7
110;23.7;23.7
110.4;23.7;23.7
110.8;23.7;23.7
111.2;23.7;23.7
111.6;23.7;23.7
112;23.7;23.7
112.4;23.7;23.7
112.9;23.7;23.7
113.3;23.7;23.7
113.7;23.7;23.7
114.1;23.7;23.7
114.5;23.7;23.7
114.9;23.7;23.7
115.3;23.7;23.7
115.7;23.7;23.7
116.1;23.7;23.7
116.5;23.7;23.7
116.9;23.7;23.7
117.3;23.7;23.7
117.7;23.7;23.7
118.2;23.7;23.7
118.6;23.7;23.7
119;23.7;23.7
119.4;23.7;23.7
119.8;23.7;23.7
120.2;23.7;23.7
120.6;23.7;23.7
121;23.7;23.7
121.4;23.7;23.7
121.8;23.7;23.7
122.2;23.7;23.7
122.6;23.7;23.7
123;23.7;23.7
123.5;23.7;23.7
123.9;23.7;23.7
124.3;23.7;23.7
124.7;23.7;23.7
125.1;23.7;23.7
125.5;23.7;23.7
125.9;23.7;23.7
126.3;23.7;23.7
126.7;23.7;23.7
127.1;23.7;23.7
127.5;23.7;23.7
127.9;23.7;23.7
128.4;23.7;23.7
128.7;23.7;23.7
129.2;23.7;23.7
129.6;23.7;23.7
130;23.7;23.7
130.4;23.7;23.62
130.8;23.7;23.7
131.2;23.7;23.7
131.6;23.7;23.62
132;23.7;23.62
132.4;23.7;23.7
132.8;23.7;23.7
133.2;23.7;23.7
133.7;23.7;23.62
134.1;23.7;23.7
134.5;23.7;23.7
134.9;23.7;23.7
135.3;23.7;23.62
135.7;23.7;23.7
136.1;23.7;23.62
136.5;23.7;23.7
136.9;23.7;23.7
137.3;23.7;23.7
137.7;23.7;23.7
138.1;23.7;23.7
138.5;23.7;23.7
138.9;23.7;23.7
139.4;23.7;23.7
139.8;23.7;23.7
140.2;23.7;23.7
140.6;23.7;23.7
141;23.7;23.7
141.4;23.7;23.7
141.8;23.7;23.7
142.2;23.7;23.62
142.6;23.7;23.7
143;23.7;23.7
143.4;23.7;23.7
143.8;23.7;23.7
144.2;23.7;23.62
144.6;23.7;23.7
145.1;23.7;23.62
145.5;23.7;23.62
145.9;23.7;23.62
146.3;23.7;23.62
146.7;23.7;23.62
147.1;23.7;23.62
147.5;23.7;23.62
