Time [s];V_diff [mV]
0;39
0.4;34
0.9;34
1.3;34
1.7;34
2.1;39
2.5;29
2.9;29
3.3;34
3.8;29
4.2;39
4.6;44
5;34
5.4;29
5.8;34
6.3;24
6.7;34
7.1;39
7.5;34
8;34
8.4;39
8.8;39
9.2;34
9.6;34
10;39
10.4;34
10.8;29
11.3;44
11.7;44
12.1;34
12.5;34
12.9;39
13.4;34
13.8;29
14.2;44
14.6;34
15;39
15.5;34
15.9;29
16.3;44
16.7;34
17.1;34
17.5;39
18;39
18.4;34
18.8;34
19.2;34
19.6;39
20;34
20.5;34
20.9;34
21.3;39
21.7;34
22.1;34
22.5;34
23;29
23.4;34
23.8;34
24.2;29
24.6;34
25;34
25.5;34
25.9;34
26.3;34
26.7;44
27.1;39
27.5;39
28;39
28.4;39
28.8;34
29.2;39
29.6;34
30.1;39
30.5;34
30.9;39
31.3;39
31.7;34
32.1;39
32.5;29
33;34
33.4;39
33.8;39
34.2;29
34.6;29
35.1;44
35.5;44
35.9;34
36.3;34
36.7;34
37.1;39
37.6;39
38;39
38.4;34
38.8;34
39.2;29
39.6;34
40.1;34
40.5;39
40.9;34
41.3;34
41.7;44
42.1;39
42.6;34
43;34
43.4;34
43.8;34
44.2;39
44.6;34
45.1;34
45.5;44
45.9;39
46.3;39
46.7;29
47.1;29
47.6;44
48;39
48.4;34
48.8;39
49.2;29
49.6;34
50.1;29
50.5;29
50.9;34
51.3;39
51.7;29
52.2;34
52.6;39
53;39
53.4;34
53.8;39
54.2;39
54.7;34
55.1;34
55.5;39
55.9;34
56.3;34
56.7;39
57.2;34
57.6;34
58;34
58.4;39
58.8;34
59.2;34
59.7;39
60.1;39
60.5;29
60.9;39
61.3;39
61.8;39
62.2;34
62.6;34
63;34
63.4;39
63.8;34
64.2;39
64.7;34
65.1;34
65.5;34
65.9;34
66.3;34
66.8;29
67.2;39
67.6;39
68;39
68.4;39
68.9;44
69.3;44
69.7;34
70.1;34
70.5;39
70.9;39
71.3;29
71.8;44
72.2;39
72.6;29
73;39
73.4;39
73.8;34
74.3;39
74.7;44
75.1;39
75.5;34
75.9;34
76.3;34
76.8;34
77.2;34
77.6;44
78;34
78.4;34
78.8;34
79.3;34
79.7;34
80.1;29
80.5;53
80.9;53
81.4;58
81.8;63
82.2;68
82.6;68
83;68
83.4;73
83.9;73
84.3;78
84.7;78
85.1;83
85.5;83
85.9;83
86.4;83
86.8;88
87.2;88
87.6;84
88;83
88.4;88
88.9;83
89.3;78
89.7;78
90.1;83
90.5;73
91;73
91.4;73
91.8;78
92.2;78
92.6;73
93;73
93.4;68
93.9;68
94.3;63
94.7;63
95.1;68
95.5;68
96;64
96.4;68
96.8;69
97.2;64
97.6;69
98.1;64
98.5;64
98.9;64
99.3;64
99.7;64
100.1;59
100.6;54
101;59
101.4;54
101.8;64
102.2;54
102.7;63
103.1;54
103.5;59
103.9;58
104.3;58
104.7;58
105.2;53
105.6;53
106;53
106.4;58
106.8;53
107.3;53
107.7;53
108.1;58
108.5;48
108.9;44
109.3;53
109.8;53
110.2;54
110.6;58
111;49
111.4;49
111.8;54
112.3;54
112.7;49
113.1;54
113.5;49
113.9;49
114.4;49
114.8;49
115.2;49
115.6;49
116;54
116.4;59
116.9;49
117.3;49
117.7;49
118.1;54
118.5;49
119;44
119.4;49
119.8;44
120.2;49
120.6;49
121;49
121.5;44
121.9;44
122.3;49
122.7;44
123.1;54
123.6;44
124;44
124.4;39
124.8;44
125.2;44
125.7;49
126.1;44
126.5;49
126.9;44
127.3;44
127.7;49
128.2;39
128.6;49
129;44
129.4;39
129.8;40
130.2;49
130.7;44
131.1;40
131.5;44
131.9;40
132.3;48
132.8;40
133.2;49
133.6;53
134;40
134.4;44
134.9;39
135.3;44
135.7;44
136.1;39
136.5;39
136.9;39
137.4;44
137.8;44
138.2;39
138.6;39
139;39
139.4;39
139.9;39
140.3;34
140.7;44
141.1;39
141.5;39
142;34
142.4;44
142.8;39
143.2;44
143.6;39
144;34
144.5;34
144.9;39
145.3;39
145.7;49
146.1;39
146.6;34
147;34
147.4;39
147.8;34
148.2;34
148.6;39
149.1;34
149.5;44
149.9;44
150.3;39
150.7;34
151.2;39
151.6;34
152;34
152.4;39
152.8;44
153.2;34
153.7;39
154.1;34
154.5;39
154.9;34
155.3;39
155.8;34
156.2;39
156.6;34
157;39
157.4;34
157.9;34
158.3;39
158.7;44
159.1;44
159.5;39
159.9;34
160.4;39
160.8;39
161.2;44
161.6;34
162;29
162.5;34
162.9;34
163.3;44
163.7;34
164.1;39
164.5;29
165;34
165.4;34
165.8;39
166.2;34
166.6;34
167.1;34
167.5;34
167.9;39
168.3;39
168.7;34
169.1;34
169.6;34
170;34
170.4;39
170.8;34
171.2;34
171.6;34
172.1;39
172.5;29
172.9;34
173.3;34
173.7;34
174.2;34
174.6;39
175;39
175.4;39
175.8;34
176.3;34
176.7;34
177.1;34
177.5;39
177.9;34
178.3;34
178.8;39
179.2;30
179.6;39
180;39
180.4;30
180.8;30
181.3;35
181.7;30
182.1;30
182.5;35
182.9;35
183.4;35
183.8;35
184.2;25
184.6;35
185;30
185.5;35
185.9;39
186.3;35
186.7;30
187.1;39
187.5;25
188;30
188.4;39
188.8;35
189.2;39
189.6;34
190.1;30
190.5;35
190.9;35
191.3;29
191.7;30
192.1;30
192.6;34
193;30
193.4;34
193.8;34
194.2;34
194.7;39
195.1;29
195.5;34
195.9;39
196.3;34
196.8;34
197.2;34
197.6;34
198;29
198.4;39
198.8;34
199.3;39
199.7;34
200.1;34
200.5;44
200.9;34
201.3;34
201.8;29
202.2;29
202.6;29
203;34
203.4;29
203.9;29
204.3;39
204.7;34
205.1;34
205.5;34
206;39
206.4;39
206.8;44
207.2;29
207.6;29
208;34
208.5;29
208.9;34
209.3;34
209.7;34
210.1;34
210.5;29
211;34
211.4;29
211.8;39
212.2;29
212.6;34
213.1;34
213.5;29
213.9;34
214.3;34
214.7;34
215.1;29
215.6;34
216;29
216.4;34
216.8;39
217.2;34
217.7;34
218.1;29
218.5;29
218.9;24
219.3;34
219.7;29
220.2;29
220.6;29
221;34
221.4;39
221.8;29
222.3;24
222.7;34
223.1;29
223.5;24
223.9;29
224.3;29
224.8;29
225.2;34
225.6;34
226;29
226.4;29
226.9;29
227.3;34
227.7;34
228.1;29
228.5;34
229;29
229.4;39
229.8;29
230.2;29
230.6;29
231;29
231.5;29
231.9;34
232.3;34
232.7;34
233.1;34
233.6;34
234;29
234.4;29
234.8;34
235.2;34
235.6;29
236.1;29
236.5;29
236.9;34
237.3;29
237.7;34
238.1;29
238.6;29
239;34
239.4;34
239.8;34
240.2;24
240.7;34
241.1;34
241.5;29
241.9;24
242.3;29
242.8;34
243.2;34
243.6;39
244;29
244.4;29
244.8;29
245.3;34
245.7;24
246.1;24
246.5;29
246.9;29
247.4;29
247.8;24
248.2;34
248.6;34
249;29
249.4;29
249.9;34
250.3;34
250.7;24
251.1;29
251.5;29
252;29
252.4;29
252.8;34
253.2;34
253.6;34
254;29
254.5;34
254.9;29
255.3;29
255.7;29
256.1;34
256.6;34
257;29
257.4;34
257.8;29
258.2;24
258.6;34
259.1;34
259.5;29
259.9;29
260.3;24
260.7;24
261.2;29
261.6;29
262;34
262.4;24
262.8;29
263.2;24
263.7;29
264.1;34
264.5;24
264.9;34
265.3;34
265.8;29
266.2;24
266.6;29
267;34
267.4;29
267.8;29
268.3;29
268.7;29
269.1;29
269.5;24
269.9;24
270.3;29
270.8;34
271.2;29
271.6;24
272;34
272.4;34
272.9;29
273.3;24
273.7;29
274.1;34
274.5;29
274.9;34
275.4;24
275.8;29
276.2;29
276.6;29
277;29
277.5;29
277.9;29
278.3;29
278.7;29
279.1;24
279.6;34
280;29
280.4;24
280.8;24
281.2;29
281.6;29
282.1;24
282.5;29
282.9;29
283.3;24
283.7;29
284.1;29
284.6;34
285;24
285.4;24
285.8;29
286.2;24
286.7;29
287.1;24
287.5;24
287.9;24
288.3;24
288.7;29
289.2;24
289.6;29
290;24
290.4;29
290.8;29
291.3;34
291.7;29
292.1;34
292.5;29
292.9;24
293.4;29
293.8;34
294.2;19
294.6;24
295;24
295.4;29
295.9;24
296.3;24
296.7;24
297.1;29
297.5;29
297.9;29
298.4;29
298.8;24
299.2;29
299.6;34
300;24
300.5;29
300.9;24
301.3;24
301.7;29
302.1;24
302.6;24
303;34
303.4;29
303.8;29
304.2;24
304.6;24
305.1;29
305.5;29
305.9;34
306.3;29
306.7;34
307.2;29
307.6;29
308;24
308.4;39
308.8;29
309.2;34
309.7;24
310.1;24
310.5;24
310.9;29
311.3;29
311.8;29
312.2;34
312.6;29
313;29
313.4;29
313.8;39
314.3;29
314.7;29
315.1;30
315.5;29
315.9;29
316.4;29
316.8;24
317.2;29
317.6;29
318;29
318.5;29
318.9;29
319.3;24
319.7;29
320.1;29
320.5;19
321;29
321.4;34
321.8;34
322.2;29
322.6;34
323;29
323.5;29
323.9;34
324.3;24
324.7;29
325.1;24
325.6;34
326;19
326.4;29
326.8;34
327.2;29
327.7;29
328.1;34
328.5;24
328.9;24
329.3;29
329.7;24
330.2;29
330.6;34
331;29
331.4;29
331.8;24
332.3;29
332.7;29
333.1;29
333.5;29
333.9;24
334.3;24
334.8;34
335.2;24
335.6;29
336;24
336.4;29
336.9;29
337.3;29
337.7;29
338.1;34
338.5;29
338.9;29
339.4;39
339.8;29
340.2;34
340.6;29
341;29
341.4;29
341.9;29
342.3;29
342.7;29
343.1;29
343.5;29
344;19
344.4;29
344.8;24
345.2;29
345.6;29
346.1;24
346.5;24
346.9;34
347.3;24
347.7;29
348.1;24
348.6;29
349;29
349.4;29
349.8;29
350.2;24
350.6;24
351.1;24
351.5;24
351.9;29
352.3;24
352.7;24
353.2;34
353.6;24
354;24
354.4;24
354.8;29
355.3;29
355.7;34
356.1;24
356.5;29
356.9;29
357.3;24
357.8;29
358.2;29
358.6;24
359;25
359.4;24
359.9;34
360.3;29
360.7;29
361.1;25
361.5;24
361.9;29
362.4;29
362.8;29
363.2;29
363.6;24
364;24
364.5;29
364.9;29
365.3;29
365.7;34
366.1;24
366.5;24
367;24
367.4;24
367.8;29
368.2;29
368.6;29
369;29
369.5;29
369.9;29
370.3;29
370.7;29
371.1;29
371.6;24
372;25
372.4;24
372.8;29
373.2;29
373.7;24
374.1;25
374.5;29
374.9;25
375.3;29
375.7;29
376.2;29
376.6;24
