Time [s];Voltage [V];Current [A]
0.4;3.27;0
0.7;3.27;0
1.1;3.27;0
1.4;3.27;0
1.8;3.27;0
2.2;3.27;0
2.6;3.27;0
3.1;3.27;0
3.5;3.27;0
3.9;3.27;0
4.3;3.27;0
4.7;3.27;0
5.1;3.27;0
5.5;3.27;0
5.9;3.27;0
6.3;3.27;0
6.7;3.27;0
7.1;3.27;0
7.5;3.27;0
7.9;3.27;0
8.4;3.27;0
8.8;3.27;0
9.2;3.27;0
9.6;3.27;0
10;3.27;0
10.4;3.27;0
10.8;3.27;0
11.2;3.27;0
11.6;3.27;0
12;3.27;0
12.4;3.27;0
12.8;3.27;0
13.2;3.27;0
13.7;3.27;0
14.1;3.27;0
14.5;3.27;0
14.9;3.27;0
15.3;3.27;0
15.7;3.27;0
16.1;3.27;0
16.5;3.27;0
16.9;3.27;0
17.3;3.27;0
17.8;3.27;0
18.2;3.27;0
18.6;3.27;0
19;3.27;0
19.4;3.27;0
19.8;3.27;0
20.2;3.27;0
20.6;3.27;0
21;3.27;0
21.4;3.27;0
21.8;3.27;0
22.2;3.27;0
22.7;3.27;0
23;3.27;0
23.5;3.27;0
23.9;3.27;0
24.3;3.27;0
24.7;3.27;0
25.1;3.27;0
25.5;3.27;0
25.9;3.27;0
26.3;3.27;0
26.7;3.27;0
27.2;3.27;0
27.6;3.27;0
28;3.27;0
28.4;3.27;0
28.8;3.27;0
29.2;3.27;0
29.6;3.27;0
30;3.27;0
30.4;3.27;0
30.9;3.27;0
31.3;3.27;0
31.7;3.27;0
32.1;3.27;0
32.5;3.27;0
32.9;3.27;0
33.3;3.27;0
33.7;3.27;0
34.1;3.27;0
34.5;3.27;0
35;3.27;0
35.4;3.27;0
35.8;3.27;0
36.2;3.27;0
36.6;3.27;0
37;3.27;0
37.4;3.27;0
37.8;3.27;0
38.2;3.27;0
38.6;3.27;0
39.1;3.27;0
39.5;3.27;0
39.9;3.27;0
40.3;3.27;0
40.7;3.27;0
41.1;3.27;0
41.5;3.27;0
41.9;3.27;0
42.3;3.27;0
42.7;3.27;0
43.1;3.27;0
43.6;3.27;0
44;3.27;0
44.4;3.27;0
44.8;3.27;0
45.2;3.27;0
45.6;3.27;0
46;3.27;0
46.4;3.27;0
46.8;3.27;0
47.3;3.27;0
47.7;3.27;0
48.1;3.27;0
48.5;3.28;0
48.9;3.28;0
49.3;3.28;0
49.7;3.28;0
50.1;3.28;0
50.5;3.28;0
50.9;3.28;0
51.4;3.28;0
51.8;3.28;0
52.2;3.28;0
52.6;3.28;0
53;3.28;0
53.4;3.28;0
53.8;3.28;0
54.2;3.28;0
54.6;3.28;0
55;3.28;0
55.5;3.28;0
55.9;3.28;0
56.3;3.28;0
56.7;3.28;0
57.1;3.28;0
57.5;3.28;0
57.9;3.28;0
58.3;3.28;0
58.8;3.28;0
59.2;3.28;0.05
59.6;3.28;0.03
60;3.28;0
60.4;3.28;0.1
60.8;3.28;0
61.2;3.28;0
61.6;3.28;0
62;3.28;0.05
62.4;3.28;0.09
62.8;3.28;0.22
63.2;3.28;0.08
63.7;3.28;0.26
64.1;3.28;0.3
64.5;3.28;0.06
64.9;3.28;0
65.3;3.28;0
65.7;3.28;0
66.1;3.28;0
66.5;3.28;0.04
66.9;3.28;0.16
67.3;3.28;0.19
67.8;3.28;0
68.2;3.28;0
68.6;3.28;0.12
69;3.28;0.19
69.4;3.28;0.07
69.8;3.28;0.04
70.2;3.28;0
70.6;3.28;0
71;3.28;0
71.4;3.28;0
71.9;3.28;0
72.3;3.28;0
72.7;3.28;0
73.1;3.28;0
73.5;3.28;0
73.9;3.28;0
74.3;3.28;0
74.7;3.28;0
75.2;3.28;0
75.6;3.28;0
76;3.28;0
76.4;3.28;0
76.8;3.28;0
77.2;3.28;0.07
77.6;3.28;0.27
78;3.28;0.23
78.4;3.28;0.11
78.8;3.28;0.14
79.3;3.28;0.02
79.7;3.28;0
80.1;3.28;0
80.5;3.28;0
80.9;3.28;0
81.3;3.28;0
81.7;3.28;0
82.1;3.28;0
82.6;3.28;0
83;3.28;0
83.4;3.28;0
83.8;3.28;0
84.2;3.28;0
84.6;3.28;0
85;3.28;0
85.4;3.28;0
85.8;3.28;0
86.2;3.28;0
86.7;3.28;0
87.1;3.28;0.06
87.5;3.28;0
87.9;3.28;0
88.3;3.28;0
88.7;3.28;0
89.1;3.28;0.25
89.5;3.28;0
90;3.28;0
90.4;3.28;0
90.8;3.28;0
91.2;3.28;0.08
91.6;3.28;0.05
92;3.28;0.17
92.4;3.28;0.3
92.8;3.28;0.3
93.2;3.28;0.3
93.7;3.28;0.3
94.1;3.28;0.3
94.5;3.28;0.3
94.9;3.28;0.3
95.3;3.28;0.3
95.7;3.28;0.3
96.1;3.28;0.3
96.5;3.28;0.22
96.9;3.28;0
97.4;3.28;0
97.8;3.28;0.15
98.2;3.28;0
98.6;3.28;0
99;3.28;0.16
99.4;3.28;0.3
99.8;3.29;0.3
100.2;3.29;0.3
100.6;3.29;0.3
101.1;3.29;0.3
101.5;3.29;0.3
101.9;3.29;0.3
102.3;3.29;0.3
102.7;3.29;0.3
103.1;3.29;0.3
103.5;3.29;0.3
103.9;3.29;0.3
104.4;3.29;0.3
104.8;3.29;0.3
105.2;3.29;0.3
105.6;3.29;0.3
106;3.29;0.3
106.4;3.29;0.3
106.8;3.29;0.3
107.2;3.29;0.3
107.6;3.29;0.3
108.1;3.29;0.3
108.5;3.29;0.3
108.9;3.29;0.3
109.3;3.29;0.3
109.7;3.29;0.3
110.1;3.29;0.3
110.5;3.29;0.3
110.9;3.29;0.3
111.3;3.29;0.3
111.8;3.29;0.3
112.2;3.29;0.3
112.6;3.29;0.3
113;3.29;0.3
113.4;3.29;0.3
113.8;3.29;0.3
114.2;3.29;0.3
114.6;3.29;0.3
115;3.29;0.3
115.5;3.29;0.3
115.8;3.29;0.3
116.3;3.29;0.3
116.7;3.29;0.3
117.1;3.29;0.3
117.5;3.29;0.3
117.9;3.29;0.3
118.3;3.29;0.3
118.7;3.29;0.3
119.1;3.29;0.3
119.5;3.29;0.3
119.9;3.29;0.3
120.4;3.29;0.3
120.8;3.29;0.3
121.2;3.29;0.3
121.6;3.29;0.3
122;3.29;0.3
122.4;3.29;0.3
122.8;3.29;0.3
123.2;3.29;0.3
123.6;3.29;0.3
124;3.29;0.3
124.4;3.29;0.3
124.8;3.29;0.3
125.2;3.29;0.3
125.7;3.29;0.3
126.1;3.29;0.3
126.5;3.29;0.3
126.9;3.29;0.3
127.3;3.29;0.3
127.7;3.29;0.3
128.1;3.29;0.3
128.5;3.29;0.3
128.9;3.29;0.3
129.4;3.29;0.3
129.8;3.29;0.3
130.2;3.29;0.3
130.6;3.29;0.3
131;3.29;0.3
131.4;3.29;0.3
131.8;3.29;0.3
132.2;3.29;0.3
132.6;3.29;0.3
133;3.29;0.3
133.4;3.29;0.3
133.8;3.29;0.3
134.2;3.29;0.3
134.7;3.29;0.3
135.1;3.29;0.3
135.5;3.29;0.3
135.9;3.29;0.3
136.3;3.29;0.3
136.7;3.29;0.3
137.1;3.29;0.3
137.5;3.29;0.3
137.9;3.29;0.3
138.3;3.29;0.3
138.7;3.29;0.3
139.1;3.29;0.3
139.5;3.29;0.3
139.9;3.29;0.3
140.4;3.29;0.3
140.8;3.29;0.3
141.2;3.29;0.3
141.6;3.29;0.3
142;3.29;0.3
142.4;3.29;0.3
142.8;3.29;0.3
143.2;3.29;0.3
143.6;3.29;0.3
144;3.29;0.3
144.4;3.29;0.3
144.8;3.29;0.3
145.2;3.29;0.3
145.7;3.29;0.3
146.1;3.29;0.3
146.5;3.29;0.3
146.9;3.29;0.3
147.3;3.29;0.3
147.7;3.29;0.3
148.1;3.29;0.3
148.5;3.29;0.3
148.9;3.29;0.3
149.3;3.29;0.3
149.7;3.29;0.3
150.1;3.29;0.3
150.6;3.29;0.3
151;3.29;0.3
151.4;3.29;0.3
151.8;3.29;0.3
152.2;3.29;0.3
152.6;3.29;0.3
153;3.29;0.3
153.4;3.29;0.3
153.8;3.29;0.3
154.2;3.29;0.3
154.6;3.29;0.3
155;3.29;0.3
155.4;3.29;0.3
155.9;3.29;0.3
156.3;3.29;0.3
156.7;3.29;0.3
157.1;3.29;0.3
157.5;3.29;0.3
157.9;3.29;0.3
158.3;3.29;0.3
158.7;3.29;0.3
159.1;3.29;0.3
159.5;3.29;0.3
159.9;3.29;0.3
160.3;3.29;0.3
160.7;3.29;0.41
161.1;3.29;0.54
161.6;3.3;0.74
162;3.3;0.8
162.4;3.31;0.9
162.8;3.31;1.2
163.2;3.32;1.3
163.6;3.32;1.33
164;3.33;1.71
164.4;3.34;1.8
164.8;3.34;1.92
165.2;3.35;2.27
165.6;3.35;2.3
166;3.36;2.42
166.4;3.37;2.74
166.9;3.37;2.8
167.3;3.37;2.94
167.7;3.39;3.2
168.1;3.39;3.2
168.5;3.39;3.32
168.9;3.39;3.44
169.3;3.4;3.6
169.7;3.4;3.7
170.1;3.4;3.83
170.5;3.41;4
170.9;3.41;4.02
171.3;3.41;4.16
171.8;3.42;4.3
172.2;3.42;4.3
172.6;3.42;4.3
173;3.42;4.3
173.4;3.42;4.39
173.8;3.43;4.6
174.2;3.43;4.66
