Time [s];Voltage [V];Current [A]
0;14.139;0
0.5;14.139;0
1;14.139;0
1.5;14.139;0
2;14.139;0
2.5;14.139;0
3;14.139;0
3.5;14.139;0
4;14.139;0
4.5;14.139;0
5;14.139;0
5.5;14.139;0
6;14.139;0
6.5;14.139;0
7;14.139;0
7.5;14.139;0
8;14.139;0
8.5;14.139;0
9;14.139;0
9.5;14.139;0
10;14.139;0
10.5;14.139;0
11;14.139;0
11.5;13.887;10.002
12;13.865;10
12.5;13.846;10
13;13.83;10
13.5;13.803;10
14;13.79;10
14.5;13.778;10
15;13.767;10
15.5;13.756;10
16;13.735;10
16.5;13.725;10
17;13.715;10
17.5;13.706;10
18;13.684;10
18.5;13.675;10
19;13.667;10
19.5;13.66;10
20;13.644;10
20.5;13.637;10
21;13.63;10
21.5;13.623;10
22;13.609;10
22.5;13.603;10
23;13.597;10
23.5;13.59;10
24;13.584;10
24.5;13.572;10
25;13.567;10
25.5;13.561;10
26;13.555;10
26.5;13.544;10
27;13.539;10
27.5;13.534;10
28;13.529;10
28.5;13.519;10
29;13.514;10
29.5;13.509;10
30;13.505;10
30.5;13.5;10
31;13.491;10
31.5;13.484;10
32;13.48;10
32.5;13.476;10
33;13.468;10
33.5;13.463;10
34;13.46;10
34.5;13.456;10
35;13.448;10
35.5;13.444;10
36;13.44;10
36.5;13.437;10
37;13.433;10
37.5;13.426;10
38;13.422;10
38.5;13.419;10
39;13.415;10
39.5;13.408;10
40;13.404;10
40.5;13.401;10
41;13.398;10
41.5;13.392;10
42;13.389;10
42.5;13.385;10
43;13.383;10
43.5;13.38;10
44;13.371;10
44.5;13.368;10
45;13.365;10
45.5;13.363;10
46;13.357;10
46.5;13.355;10
47;13.352;10
47.5;13.349;10
48;13.344;10
48.5;13.342;10
49;13.339;10
49.5;13.337;10
50;13.332;10
50.5;13.329;10
51;13.327;10
51.5;13.324;10
52;13.322;10
52.5;13.317;10
53;13.315;10
53.5;13.313;10
54;13.31;10
54.5;13.306;10
55;13.304;10
55.5;13.301;10
56;13.299;10
56.5;13.295;10
57;13.293;10
57.5;13.289;10
58;13.287;10
58.5;13.283;10
59;13.281;10
59.5;13.279;10
60;13.277;10
60.5;13.275;10
61;13.271;10
61.5;13.269;10
62;13.268;10
62.5;13.266;10
63;13.262;10
63.5;13.26;10
64;13.258;10
64.5;13.256;10
65;13.253;10
65.5;13.251;10
66;13.249;10
66.5;13.248;10
67;13.246;10
67.5;13.242;10
68;13.241;10
68.5;13.239;10
69;13.237;10
69.5;13.234;10
70;13.232;10
70.5;13.23;10
71;13.228;10
71.5;13.225;10
72;13.224;10
72.5;13.222;10
73;13.221;10
73.5;13.219;10
74;13.216;10
74.5;13.215;10
75;13.213;10
75.5;13.212;10
76;13.209;10
76.5;13.208;10
77;13.206;10
77.5;13.205;10
78;13.202;10
78.5;13.201;10
79;13.2;10
79.5;13.198;10
80;13.196;10
80.5;13.194;10
81;13.193;10
81.5;13.192;10
82;13.19;10
82.5;13.188;10
83;13.186;10
83.5;13.185;10
84;13.184;10
84.5;13.181;10
85;13.18;10
85.5;13.178;10
86;13.177;10
86.5;13.176;10
87;13.174;10
87.5;13.172;10
88;13.171;10
88.5;13.17;10
89;13.168;10
89.5;13.167;10
90;13.166;10
90.5;13.165;10
91;13.164;10
91.5;13.161;10
92;13.16;10
92.5;13.159;10
93;13.157;10
93.5;13.151;10
94;13.15;10
94.5;13.149;10
95;13.148;10
95.5;13.147;10
96;13.146;10
96.5;13.144;10
97;13.142;10
97.5;13.141;10
98;13.14;10
98.5;13.139;10
99;13.138;10
99.5;13.137;10
100;13.135;10
100.5;13.135;10
101;13.134;10
101.5;13.133;10
102;13.131;10
102.5;13.13;10
103;13.13;10
103.5;13.129;10
104;13.127;10
104.5;13.126;10
105;13.125;10
105.5;13.124;10
106;13.124;10
106.5;13.122;10
107;13.121;10
107.5;13.121;10
108;13.12;10
108.5;13.118;10
109;13.117;10
109.5;13.117;10
110;13.116;10
110.5;13.114;10
111;13.114;10
111.5;13.113;10
112;13.112;10
112.5;13.112;10
113;13.11;10
113.5;13.11;10
114;13.109;10
114.5;13.108;10
115;13.107;10
115.5;13.106;10
116;13.106;10
116.5;13.105;10
117;13.103;10
117.5;13.102;10
118;13.102;10
118.5;13.101;10
119;13.101;10
119.5;13.099;10
120;13.098;10
120.5;13.098;10
121;13.097;10
121.5;13.096;10
122;13.095;10
122.5;13.095;10
123;13.094;10
123.5;13.093;10
124;13.093;10
124.5;13.092;10
125;13.091;10
125.5;13.09;10
126;13.09;10
126.5;13.089;10
127;13.089;10
127.5;13.088;10
128;13.087;10
128.5;13.086;10
129;13.086;10
129.5;13.085;10
130;13.084;10
130.5;13.083;10
131;13.083;10
131.5;13.082;10
132;13.081;10
132.5;13.081;10
133;13.08;10
133.5;13.08;10
134;13.079;10
134.5;13.078;10
135;13.078;10
135.5;13.077;10
136;13.077;10
136.5;13.076;10
137;13.075;10
137.5;13.075;10
138;13.074;10
138.5;13.073;10
139;13.073;10
139.5;13.072;10
140;13.072;10
140.5;13.071;10
141;13.071;10
141.5;13.07;10
142;13.07;10
142.5;13.069;10
143;13.068;10
143.5;13.068;10
144;13.067;10
144.5;13.067;10
145;13.066;10
145.5;13.066;10
146;13.065;10
146.5;13.065;10
147;13.064;10
147.5;13.064;10
148;13.063;10
148.5;13.063;10
149;13.062;10
149.5;13.062;10
150;13.061;10
150.5;13.061;10
151;13.061;10
151.5;13.06;10
152;13.059;10
152.5;13.059;10
153;13.059;10
153.5;13.059;10
154;13.058;10
154.5;13.057;10
155;13.052;10
155.5;13.052;10
156;13.052;10
156.5;13.052;10
157;13.052;10
157.5;13.052;10
158;13.051;10
158.5;13.051;10
159;13.051;10
159.5;13.051;10
160;13.05;10
160.5;13.05;10
161;13.05;10
161.5;13.05;10
162;13.049;10
162.5;13.049;10
163;13.049;10
163.5;13.048;10
164;13.048;10
164.5;13.048;10
165;13.047;10
165.5;13.047;10
166;13.047;10
166.5;13.046;10
167;13.046;10
167.5;13.046;10
168;13.045;10
168.5;13.045;10
169;13.044;10
169.5;13.044;10
170;13.044;10
170.5;13.044;10
171;13.043;10
171.5;13.043;10
172;13.043;10
172.5;13.042;10
173;13.042;10
173.5;13.042;10
174;13.041;10
174.5;13.041;10
175;13.041;10
175.5;13.04;10
176;13.04;10
176.5;13.04;10
177;13.04;10
177.5;13.039;10
178;13.039;10
178.5;13.038;10
179;13.038;10
179.5;13.036;10
180;13.036;10
180.5;13.036;10
181;13.034;10
181.5;13.033;10
182;13.033;10
182.5;13.033;10
183;13.033;10
183.5;13.033;10
184;13.033;10
184.5;13.033;10
185;13.033;10
185.5;13.033;10
186;13.032;10
186.5;13.032;10
187;13.032;10
187.5;13.032;10
188;13.031;10
188.5;13.031;10
189;13.031;10
189.5;13.031;10
190;13.03;10
190.5;13.03;10
191;13.029;10
191.5;13.029;10
192;13.029;10
192.5;13.028;10
193;13.028;10
193.5;13.028;10
194;13.028;10
194.5;13.027;10
195;13.027;10
195.5;13.027;10
196;13.027;10
196.5;13.026;10
197;13.026;10
197.5;13.026;10
198;13.025;10
198.5;13.025;10
199;13.025;10
199.5;13.025;10
200;13.025;10
200.5;13.025;10
201;13.025;10
201.5;13.025;10
202;13.025;10
202.5;13.024;10
203;13.024;10
203.5;13.024;10
204;13.024;10
204.5;13.024;10
205;13.024;10
205.5;13.023;10
206;13.023;10
206.5;13.023;10
207;13.023;10
207.5;13.022;10
208;13.022;10
208.5;13.022;10
209;13.022;10
209.5;13.022;10
210;13.022;10
210.5;13.021;10
211;13.021;10
211.5;13.021;10
212;13.021;10
212.5;13.021;10
213;13.02;10
213.5;13.02;10
214;13.02;10
214.5;13.02;10
215;13.02;10
215.5;13.02;10
216;13.019;10
216.5;13.019;10
217;13.019;10
217.5;13.019;10
218;13.019;10
218.5;13.019;10
219;13.018;10
219.5;13.018;10
220;13.018;10
220.5;13.018;10
221;13.018;10
221.5;13.018;10
222;13.017;10
222.5;13.017;10
223;13.017;10
223.5;13.017;10
224;13.017;10
224.5;13.017;10
225;13.016;10
225.5;13.016;10
226;13.016;10
226.5;13.016;10
227;13.016;10
227.5;13.016;10
228;13.016;10
228.5;13.015;10
229;13.015;10
229.5;13.015;10
230;13.015;10
230.5;13.015;10
231;13.015;10
231.5;13.014;10
232;13.014;10
232.5;13.014;10
233;13.014;10
233.5;13.014;10
234;13.014;10
234.5;13.013;10
235;13.013;10
235.5;13.013;10
236;13.013;10
236.5;13.013;10
237;13.012;10
237.5;13.012;10
238;13.012;10
238.5;13.012;10
239;13.012;10
239.5;13.012;10
240;13.012;10
240.5;13.012;10
241;13.011;10
241.5;13.011;10
242;13.011;10
242.5;13.011;10
243;13.011;10
243.5;13.011;10
244;13.011;10
244.5;13.011;10
245;13.011;10
245.5;13.01;10
246;13.01;10
246.5;13.01;10
247;13.01;10
247.5;13.01;10
248;13.01;10
248.5;13.009;10
249;13.009;10
249.5;13.009;10
250;13.009;10
250.5;13.009;10
251;13.009;10
251.5;13.009;10
252;13.009;10
252.5;13.009;10
253;13.007;10
253.5;13.007;10
254;13.006;10
254.5;13.006;10
255;13.007;10
255.5;13.007;10
256;13.006;10
256.5;13.007;10
257;13.007;10
257.5;13.006;10
258;13.006;10
258.5;13.006;10
259;13.006;10
259.5;13.006;10
260;13.006;10
260.5;13.006;10
261;13.006;10
261.5;13.006;10
262;13.006;10
262.5;13.006;10
263;13.004;10
263.5;13.004;10
264;13.004;10
